Date,High
2019-05-14,187.46
2019-05-15,189.49
2019-05-16,190.2
2019-05-17,188.65
2019-05-20,182.18
2019-05-21,185.78
2019-05-22,183.52
2019-05-23,178.41
2019-05-24,179.99
2019-05-28,178.46
2019-05-29,177.23
2019-05-30,177.12
2019-05-31,175.89
2019-06-03,175.82
2019-06-04,177.71
2019-06-05,182.81
2019-06-06,183.28
2019-06-07,189.66
2019-06-10,193.07
2019-06-11,193.69
2019-06-12,193.66
2019-06-13,194.47
2019-06-14,191.31
2019-06-17,192.66
2019-06-18,197.93
2019-06-19,197.52
2019-06-20,198.24
2019-06-21,198.48
2019-06-24,197.8
2019-06-25,196.91
2019-06-26,198.62
2019-06-27,199.19
2019-06-28,197.15
2019-07-01,202.08
2019-07-02,200.73
2019-07-03,202.03
2019-07-05,202.66
2019-07-08,199.02
2019-07-09,199.13
2019-07-10,201.33
2019-07-11,201.98
2019-07-12,201.59
2019-07-15,203.44
2019-07-16,203.68
2019-07-17,202.67
2019-07-18,203.45
2019-07-19,204.06
2019-07-22,204.79
2019-07-23,206.45
2019-07-24,206.68
2019-07-25,206.77
2019-07-26,207.26
2019-07-29,208.16
2019-07-30,207.68
2019-07-31,218.76
2019-08-01,215.46
2019-08-02,204.0
2019-08-05,196.31
2019-08-06,195.73
2019-08-07,197.21
2019-08-08,201.13
2019-08-09,201.13
2019-08-12,200.43
2019-08-13,210.43
2019-08-14,204.78
2019-08-15,203.49
2019-08-16,205.49
2019-08-19,211.02
2019-08-20,211.63
2019-08-21,211.93
2019-08-22,212.72
2019-08-23,210.35
2019-08-26,205.52
2019-08-27,206.87
2019-08-28,204.07
2019-08-29,207.64
2019-08-30,208.76
2019-09-03,205.32
2019-09-04,207.8
2019-09-05,212.25
2019-09-06,212.7
2019-09-09,214.7
2019-09-10,215.04
2019-09-11,221.91
2019-09-12,224.6
2019-09-13,219.02
2019-09-16,218.36
2019-09-17,219.04
2019-09-18,221.06
2019-09-19,221.96
2019-09-20,220.77
2019-09-23,218.07
2019-09-24,220.7
2019-09-25,219.72
2019-09-26,219.16
2019-09-27,219.18
2019-09-30,222.77
2019-10-01,226.39
2019-10-02,221.78
2019-10-03,219.18
2019-10-04,225.66
2019-10-07,228.08
2019-10-08,226.23
2019-10-09,225.96
2019-10-10,228.59
2019-10-11,235.73
2019-10-14,236.22
2019-10-15,235.74
2019-10-16,233.35
2019-10-17,234.25
2019-10-18,235.67
2019-10-21,239.05
2019-10-22,240.25
2019-10-23,241.28
2019-10-24,242.83
2019-10-25,244.75
2019-10-28,247.25
2019-10-29,247.74
2019-10-30,243.33
2019-10-31,247.17
2019-11-01,253.87
2019-11-04,255.78
2019-11-05,256.11
2019-11-06,255.42
2019-11-07,259.03
2019-11-08,259.12
2019-11-11,261.14
2019-11-12,261.46
2019-11-13,263.44
2019-11-14,263.54
2019-11-15,264.43
2019-11-18,266.08
2019-11-19,266.64
2019-11-20,264.73
2019-11-21,262.67
2019-11-22,261.85
2019-11-25,265.09
2019-11-26,265.81
2019-11-27,266.62
2019-11-29,266.64
2019-12-02,266.89
2019-12-03,258.22
2019-12-04,261.98
2019-12-05,264.54
2019-12-06,269.63
2019-12-09,269.43
2019-12-10,268.7
2019-12-11,269.73
2019-12-12,271.18
2019-12-13,273.91
2019-12-16,279.37
2019-12-17,280.34
2019-12-18,280.47
2019-12-19,279.76
2019-12-20,281.22
2019-12-23,282.81
2019-12-24,283.45
2019-12-26,288.51
2019-12-27,292.48
2019-12-30,291.21
2019-12-31,292.19
2020-01-02,299.08
2020-01-03,299.06
2020-01-06,298.44
2020-01-07,299.38
2020-01-08,302.9
2020-01-09,308.86
2020-01-10,311.09
2020-01-13,315.47
2020-01-14,315.96
2020-01-15,313.9
2020-01-16,314.1
2020-01-17,317.13
2020-01-21,317.41
2020-01-22,318.37
2020-01-23,317.94
2020-01-24,321.69
2020-01-27,310.19
2020-01-28,316.79
2020-01-29,326.19
2020-01-30,322.45
2020-01-31,321.05
2020-02-03,311.9
2020-02-04,318.02
2020-02-05,323.12
2020-02-06,323.57
2020-02-07,322.53
2020-02-10,320.68
2020-02-11,323.03
2020-02-12,326.34
2020-02-13,325.34
2020-02-14,325.1
2020-02-18,318.89
2020-02-19,323.69
2020-02-20,323.77
2020-02-21,319.58
2020-02-24,303.36
2020-02-25,301.71
2020-02-26,297.08
2020-02-27,285.23
2020-02-28,277.66
2020-03-02,300.63
2020-03-03,303.18
2020-03-04,302.58
2020-03-05,298.74
2020-03-06,290.03
2020-03-09,277.34
2020-03-10,285.67
2020-03-11,280.46
2020-03-12,269.27
2020-03-13,279.16
2020-03-16,258.38
2020-03-17,256.91
2020-03-18,249.33
2020-03-19,252.16
2020-03-20,251.15
2020-03-23,227.88
2020-03-24,247.02
2020-03-25,257.55
2020-03-26,257.98
2020-03-27,255.18
2020-03-30,254.83
2020-03-31,261.78
2020-04-01,248.05
2020-04-02,244.49
2020-04-03,245.04
2020-04-06,262.4
2020-04-07,270.97
2020-04-08,266.65
2020-04-09,269.34
2020-04-13,272.96
2020-04-14,287.47
2020-04-15,285.56
2020-04-16,287.42
2020-04-17,286.18
2020-04-20,280.92
2020-04-21,276.5
2020-04-22,277.15
2020-04-23,280.99
2020-04-24,282.25
2020-04-27,283.77
2020-04-28,285.06
2020-04-29,288.89
2020-04-30,293.73
2020-05-01,298.19
2020-05-04,292.9
2020-05-05,300.19
2020-05-06,302.42
2020-05-07,304.35
2020-05-08,310.35
2020-05-11,317.05
2020-05-12,319.69
2020-05-13,315.95
2020-05-14,307.52
